Symptoms,Cause,Chemical_Name,Remedies,Homemade_Soup,Reason_for_Remedi_Suggested,How_to_Use_Remedi,Tips,
Sleeplessness due to overthinking,Emotional distress,Sodium chloride,Natrum Muriaticum,Pumpkin soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid caffeine and alcohol,
Cold extremities with chilliness,Overeating,Organic ink compounds,Sepia,Mint coriander soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Consult practitioner if severe,
White-coated tongue with bitter taste,Food poisoning,Elemental phosphorus,Phosphorus,Vegetable clear soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Maintain hydration and rest,
Nausea with sour belching,Medication side-effect,Organic ink compounds,Sepia,Mint coriander soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
Sleeplessness due to overthinking,Spicy food,Strychnine,Nux Vomica,Mint coriander soup,"For indigestion, irritability after overeating",200C weekly for chronic cases,Observe changes for 48 hours,
Throbbing headache with sensitivity to light,Medication side-effect,Aconitine,Aconitum Napellus,Spinach lentil soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Pulsating ear pain on swallowing,Dehydration,Gelsemine,Gelsemium,Carrot and celery soup,"For anticipatory anxiety, weakness, heaviness","200C single dose, repeat if needed",Observe changes for 48 hours,
Sneezing with watery eyes in morning,Spicy food,Organic ink compounds,Sepia,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid self-medication in serious cases,
Sneezing with watery eyes in morning,Hormonal imbalance,Sporopollenin,Lycopodium,Herbal lemon soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Stiff joints worse on first movement,Bacterial infection,Alkaloids,Ignatia Amara,Mint coriander soup,"For grief, emotional suppression","200C single dose, repeat if needed",Keep remedies away from strong odors,
Stiff joints worse on first movement,Stress,Bryonine,Bryonia Alba,Spinach lentil soup,"For stitching pains, worse with movement",6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
White-coated tongue with bitter taste,Indigestion,Helenalin,Arnica Montana,Ginger garlic soup,"For trauma, bruising, muscle soreness","200C single dose, repeat if needed",Keep remedies away from strong odors,
Sore throat with difficulty swallowing,Allergic reaction,Elemental sulphur,Sulphur,Pepper rasam,"For chronic skin conditions, itching, burning","200C single dose, repeat if needed",Maintain hydration and rest,
Red itchy rash on forearms,Spicy food,Aconitine,Aconitum Napellus,Pepper rasam,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid caffeine and alcohol,
Sneezing with watery eyes in morning,Overeating,Aconitine,Aconitum Napellus,Ginger garlic soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Maintain hydration and rest,
Tingling in fingertips in cold weather,Bacterial infection,Silicon dioxide,Silicea,Pepper rasam,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Anxiety with restlessness and fear,Medication side-effect,Organic ink compounds,Sepia,Pumpkin soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
Cold extremities with chilliness,Overeating,Thujone,Thuja Occidentalis,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Avoid self-medication in serious cases,
Nausea with sour belching,Contaminated water,Mercurous salts,Mercurius Solubilis,Beetroot soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Tingling in fingertips in cold weather,Food poisoning,Strychnine,Nux Vomica,Carrot and celery soup,"For indigestion, irritability after overeating",6C every 4-6 hours until improvement,Consult practitioner if severe,
Sleeplessness due to overthinking,Dehydration,Calcium carbonate,Calcarea Carbonica,Tomato basil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Consult practitioner if severe,
Sharp lumbar pain after lifting,Overexertion,Protoanemonin,Pulsatilla,Carrot and celery soup,"For mild, emotional patients with changeable symptoms","200C single dose, repeat if needed",Avoid caffeine and alcohol,
White-coated tongue with bitter taste,Viral infection,Urushiol,Rhus Toxicodendron,Ginger garlic soup,"For sprains, stiffness, worse first movement",6C every 4-6 hours until improvement,Consult practitioner if severe,
Dry cough worse at night,Emotional distress,Arsenic trioxide,Arsenicum Album,Ginger garlic soup,"For anxiety, restlessness, burning pains",30C once daily for 3 days,Consult practitioner if severe,
Nausea with sour belching,Poor sleep,Mercurous salts,Mercurius Solubilis,Beetroot soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Irritable mood with tearfulness,Cold exposure,Sodium chloride,Natrum Muriaticum,Ginger garlic soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Maintain hydration and rest,
Dry skin with flaky patches,Medication side-effect,Chamazulene,Chamomilla,Pepper rasam,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Maintain hydration and rest,
Sleeplessness due to overthinking,Overeating,Calcium carbonate,Calcarea Carbonica,Beetroot soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Sore throat with difficulty swallowing,Poor sleep,Silicon dioxide,Silicea,Beetroot soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Observe changes for 48 hours,
White-coated tongue with bitter taste,Indigestion,Sporopollenin,Lycopodium,Herbal lemon soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Dry cough worse at night,Contaminated water,Organic ink compounds,Sepia,Spinach lentil soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Maintain hydration and rest,
Red itchy rash on forearms,Indigestion,Chamazulene,Chamomilla,Mint coriander soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid self-medication in serious cases,
Pulsating ear pain on swallowing,Overeating,Bryonine,Bryonia Alba,Carrot and celery soup,"For stitching pains, worse with movement",30C once daily for 3 days,Observe changes for 48 hours,
Sharp lumbar pain after lifting,Contaminated water,Urushiol,Rhus Toxicodendron,Tomato basil soup,"For sprains, stiffness, worse first movement",30C thrice daily during acute phase,Avoid self-medication in serious cases,
Cold extremities with chilliness,Food poisoning,Protoanemonin,Pulsatilla,Herbal lemon soup,"For mild, emotional patients with changeable symptoms","200C single dose, repeat if needed",Maintain hydration and rest,
White-coated tongue with bitter taste,Weather change,Sporopollenin,Lycopodium,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid caffeine and alcohol,
Tingling in fingertips in cold weather,Stress,Aconitine,Aconitum Napellus,Vegetable clear soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Irritable mood with tearfulness,Allergic reaction,Strychnine,Nux Vomica,Carrot and celery soup,"For indigestion, irritability after overeating",6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Sore throat with difficulty swallowing,Weather change,Elemental sulphur,Sulphur,Herbal lemon soup,"For chronic skin conditions, itching, burning",30C thrice daily during acute phase,Keep remedies away from strong odors,
Frequent loose stools after spicy food,Overexertion,Mercurous salts,Mercurius Solubilis,Beetroot soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Avoid self-medication in serious cases,
Dry skin with flaky patches,Bacterial infection,Elemental sulphur,Sulphur,Spinach lentil soup,"For chronic skin conditions, itching, burning",6C every 4-6 hours until improvement,Maintain hydration and rest,
Burning pain in stomach after eating,Spicy food,Sporopollenin,Lycopodium,Vegetable clear soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Consult practitioner if severe,
Dry skin with flaky patches,Overexertion,Thujone,Thuja Occidentalis,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Cold extremities with chilliness,Food poisoning,Sodium chloride,Natrum Muriaticum,Carrot and celery soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Maintain hydration and rest,
Pulsating ear pain on swallowing,Bacterial infection,Atropine,Belladonna,Ginger garlic soup,"For sudden high fever, throbbing pains",6C every 4-6 hours until improvement,Maintain hydration and rest,
Stiff joints worse on first movement,Medication side-effect,Sodium chloride,Natrum Muriaticum,Beetroot soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Dry skin with flaky patches,Viral infection,Aconitine,Aconitum Napellus,Pumpkin soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Consult practitioner if severe,
Nausea with sour belching,Viral infection,Strychnine,Nux Vomica,Ginger garlic soup,"For indigestion, irritability after overeating",30C once daily for 3 days,Maintain hydration and rest,
Sore throat with difficulty swallowing,Indigestion,Chamazulene,Chamomilla,Mint coriander soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Throbbing headache with sensitivity to light,Poor sleep,Arsenic trioxide,Arsenicum Album,Mint coriander soup,"For anxiety, restlessness, burning pains",200C weekly for chronic cases,Consult practitioner if severe,
Pulsating ear pain on swallowing,Medication side-effect,Organic ink compounds,Sepia,Mint coriander soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Sore throat with difficulty swallowing,Cold exposure,Urushiol,Rhus Toxicodendron,Mint coriander soup,"For sprains, stiffness, worse first movement",6C every 4-6 hours until improvement,Maintain hydration and rest,
Nausea with sour belching,Emotional distress,Silicon dioxide,Silicea,Ginger garlic soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Burning pain in stomach after eating,Dehydration,Gelsemine,Gelsemium,Tomato basil soup,"For anticipatory anxiety, weakness, heaviness",200C weekly for chronic cases,Avoid self-medication in serious cases,
Dry cough worse at night,Spicy food,Sporopollenin,Lycopodium,Pepper rasam,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Avoid caffeine and alcohol,
Sore throat with difficulty swallowing,Weather change,Protoanemonin,Pulsatilla,Pumpkin soup,"For mild, emotional patients with changeable symptoms",30C once daily for 3 days,Avoid caffeine and alcohol,
White-coated tongue with bitter taste,Bacterial infection,Sporopollenin,Lycopodium,Pumpkin soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Burning pain in stomach after eating,Dehydration,Atropine,Belladonna,Tomato basil soup,"For sudden high fever, throbbing pains",200C weekly for chronic cases,Keep remedies away from strong odors,
Hot flushes with night sweats,Indigestion,Urushiol,Rhus Toxicodendron,Pumpkin soup,"For sprains, stiffness, worse first movement","200C single dose, repeat if needed",Avoid caffeine and alcohol,
Cold extremities with chilliness,Overeating,Mercurous salts,Mercurius Solubilis,Pepper rasam,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid self-medication in serious cases,
Cold extremities with chilliness,Stress,Elemental phosphorus,Phosphorus,Pumpkin soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Cramping abdominal pain relieved by bending forward,Viral infection,Arsenic trioxide,Arsenicum Album,Carrot and celery soup,"For anxiety, restlessness, burning pains",30C once daily for 3 days,Maintain hydration and rest,
Sleeplessness due to overthinking,Contaminated water,Bryonine,Bryonia Alba,Spinach lentil soup,"For stitching pains, worse with movement",200C weekly for chronic cases,Avoid self-medication in serious cases,
White-coated tongue with bitter taste,Overexertion,Arsenic trioxide,Arsenicum Album,Pumpkin soup,"For anxiety, restlessness, burning pains",30C once daily for 3 days,Avoid caffeine and alcohol,
Red itchy rash on forearms,Emotional distress,Chamazulene,Chamomilla,Pepper rasam,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Throbbing headache with sensitivity to light,Indigestion,Bryonine,Bryonia Alba,Beetroot soup,"For stitching pains, worse with movement","200C single dose, repeat if needed",Avoid self-medication in serious cases,
Sneezing with watery eyes in morning,Contaminated water,Organic ink compounds,Sepia,Tomato basil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Sharp lumbar pain after lifting,Dehydration,Arsenic trioxide,Arsenicum Album,Pumpkin soup,"For anxiety, restlessness, burning pains","200C single dose, repeat if needed",Observe changes for 48 hours,
Cramping abdominal pain relieved by bending forward,Weather change,Aconitine,Aconitum Napellus,Mint coriander soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid self-medication in serious cases,
Sleeplessness due to overthinking,Dehydration,Sodium chloride,Natrum Muriaticum,Mint coriander soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Anxiety with restlessness and fear,Overexertion,Protoanemonin,Pulsatilla,Pepper rasam,"For mild, emotional patients with changeable symptoms",6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Irritable mood with tearfulness,Medication side-effect,Chamazulene,Chamomilla,Carrot and celery soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Cold extremities with chilliness,Viral infection,Aconitine,Aconitum Napellus,Carrot and celery soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Keep remedies away from strong odors,
Cramping abdominal pain relieved by bending forward,Food poisoning,Strychnine,Nux Vomica,Pumpkin soup,"For indigestion, irritability after overeating","200C single dose, repeat if needed",Avoid self-medication in serious cases,
Sore throat with difficulty swallowing,Emotional distress,Calcium carbonate,Calcarea Carbonica,Pepper rasam,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Cold extremities with chilliness,Cold exposure,Thujone,Thuja Occidentalis,Carrot and celery soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Burning pain in stomach after eating,Allergic reaction,Bryonine,Bryonia Alba,Beetroot soup,"For stitching pains, worse with movement",30C once daily for 3 days,Maintain hydration and rest,
Frequent loose stools after spicy food,Hormonal imbalance,Urushiol,Rhus Toxicodendron,Herbal lemon soup,"For sprains, stiffness, worse first movement",30C thrice daily during acute phase,Keep remedies away from strong odors,
Irritable mood with tearfulness,Emotional distress,Calcium carbonate,Calcarea Carbonica,Vegetable clear soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Burning pain in stomach after eating,Stress,Gelsemine,Gelsemium,Carrot and celery soup,"For anticipatory anxiety, weakness, heaviness",30C once daily for 3 days,Maintain hydration and rest,
Dry skin with flaky patches,Hormonal imbalance,Arsenic trioxide,Arsenicum Album,Pepper rasam,"For anxiety, restlessness, burning pains",6C every 4-6 hours until improvement,Consult practitioner if severe,
Sleeplessness due to overthinking,Allergic reaction,Elemental phosphorus,Phosphorus,Mint coriander soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Throbbing headache with sensitivity to light,Indigestion,Protoanemonin,Pulsatilla,Beetroot soup,"For mild, emotional patients with changeable symptoms",30C once daily for 3 days,Observe changes for 48 hours,
Tingling in fingertips in cold weather,Food poisoning,Sporopollenin,Lycopodium,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
White-coated tongue with bitter taste,Medication side-effect,Alkaloids,Ignatia Amara,Pepper rasam,"For grief, emotional suppression",6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Frequent loose stools after spicy food,Food poisoning,Protoanemonin,Pulsatilla,Tomato basil soup,"For mild, emotional patients with changeable symptoms",6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Nausea with sour belching,Overexertion,Arsenic trioxide,Arsenicum Album,Ginger garlic soup,"For anxiety, restlessness, burning pains",30C thrice daily during acute phase,Keep remedies away from strong odors,
Cramping abdominal pain relieved by bending forward,Contaminated water,Elemental phosphorus,Phosphorus,Herbal lemon soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Stiff joints worse on first movement,Cold exposure,Atropine,Belladonna,Beetroot soup,"For sudden high fever, throbbing pains",30C thrice daily during acute phase,Avoid self-medication in serious cases,
Sore throat with difficulty swallowing,Dehydration,Calcium carbonate,Calcarea Carbonica,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Frequent loose stools after spicy food,Overexertion,Elemental phosphorus,Phosphorus,Carrot and celery soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
Tingling in fingertips in cold weather,Overexertion,Helenalin,Arnica Montana,Ginger garlic soup,"For trauma, bruising, muscle soreness",30C thrice daily during acute phase,Avoid caffeine and alcohol,
Red itchy rash on forearms,Overexertion,Organic ink compounds,Sepia,Ginger garlic soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid caffeine and alcohol,
Tingling in fingertips in cold weather,Allergic reaction,Silicon dioxide,Silicea,Pepper rasam,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
Frequent loose stools after spicy food,Overeating,Atropine,Belladonna,Carrot and celery soup,"For sudden high fever, throbbing pains",200C weekly for chronic cases,Consult practitioner if severe,
Throbbing headache with sensitivity to light,Food poisoning,Silicon dioxide,Silicea,Mint coriander soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid self-medication in serious cases,
Sore throat with difficulty swallowing,Overexertion,Sodium chloride,Natrum Muriaticum,Carrot and celery soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid caffeine and alcohol,
Red itchy rash on forearms,Indigestion,Aconitine,Aconitum Napellus,Beetroot soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Hot flushes with night sweats,Hormonal imbalance,Arsenic trioxide,Arsenicum Album,Beetroot soup,"For anxiety, restlessness, burning pains",30C once daily for 3 days,Maintain hydration and rest,
Throbbing headache with sensitivity to light,Allergic reaction,Sodium chloride,Natrum Muriaticum,Herbal lemon soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid caffeine and alcohol,
Anxiety with restlessness and fear,Medication side-effect,Calcium carbonate,Calcarea Carbonica,Vegetable clear soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Sharp lumbar pain after lifting,Bacterial infection,Chamazulene,Chamomilla,Pepper rasam,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid caffeine and alcohol,
Burning pain in stomach after eating,Hormonal imbalance,Sporopollenin,Lycopodium,Carrot and celery soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Consult practitioner if severe,
Hot flushes with night sweats,Contaminated water,Calcium carbonate,Calcarea Carbonica,Spinach lentil soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Frequent loose stools after spicy food,Food poisoning,Elemental phosphorus,Phosphorus,Tomato basil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Consult practitioner if severe,
Burning pain in stomach after eating,Weather change,Aconitine,Aconitum Napellus,Tomato basil soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Sleeplessness due to overthinking,Poor sleep,Sodium chloride,Natrum Muriaticum,Spinach lentil soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
White-coated tongue with bitter taste,Cold exposure,Atropine,Belladonna,Pumpkin soup,"For sudden high fever, throbbing pains",30C once daily for 3 days,Consult practitioner if severe,
Nausea with sour belching,Overeating,Strychnine,Nux Vomica,Ginger garlic soup,"For indigestion, irritability after overeating",30C once daily for 3 days,Avoid caffeine and alcohol,
Frequent loose stools after spicy food,Hormonal imbalance,Chamazulene,Chamomilla,Spinach lentil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Keep remedies away from strong odors,
Sneezing with watery eyes in morning,Food poisoning,Sporopollenin,Lycopodium,Pepper rasam,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid caffeine and alcohol,
Pulsating ear pain on swallowing,Overeating,Sporopollenin,Lycopodium,Beetroot soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Keep remedies away from strong odors,
Throbbing headache with sensitivity to light,Poor sleep,Helenalin,Arnica Montana,Pumpkin soup,"For trauma, bruising, muscle soreness","200C single dose, repeat if needed",Consult practitioner if severe,
Irritable mood with tearfulness,Poor sleep,Atropine,Belladonna,Pumpkin soup,"For sudden high fever, throbbing pains",30C once daily for 3 days,Keep remedies away from strong odors,
Nausea with sour belching,Spicy food,Atropine,Belladonna,Carrot and celery soup,"For sudden high fever, throbbing pains",30C once daily for 3 days,Keep remedies away from strong odors,
Stiff joints worse on first movement,Medication side-effect,Thujone,Thuja Occidentalis,Ginger garlic soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Keep remedies away from strong odors,
Stiff joints worse on first movement,Emotional distress,Elemental phosphorus,Phosphorus,Pumpkin soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Nausea with sour belching,Weather change,Atropine,Belladonna,Beetroot soup,"For sudden high fever, throbbing pains",30C thrice daily during acute phase,Observe changes for 48 hours,
Red itchy rash on forearms,Emotional distress,Mercurous salts,Mercurius Solubilis,Pumpkin soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid self-medication in serious cases,
Anxiety with restlessness and fear,Hormonal imbalance,Bryonine,Bryonia Alba,Spinach lentil soup,"For stitching pains, worse with movement",30C once daily for 3 days,Maintain hydration and rest,
Sharp lumbar pain after lifting,Dehydration,Elemental phosphorus,Phosphorus,Ginger garlic soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
Cold extremities with chilliness,Allergic reaction,Gelsemine,Gelsemium,Tomato basil soup,"For anticipatory anxiety, weakness, heaviness","200C single dose, repeat if needed",Keep remedies away from strong odors,
Tingling in fingertips in cold weather,Weather change,Protoanemonin,Pulsatilla,Mint coriander soup,"For mild, emotional patients with changeable symptoms",30C thrice daily during acute phase,Consult practitioner if severe,
Anxiety with restlessness and fear,Overexertion,Sporopollenin,Lycopodium,Pumpkin soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Avoid caffeine and alcohol,
Dry cough worse at night,Bacterial infection,Gelsemine,Gelsemium,Spinach lentil soup,"For anticipatory anxiety, weakness, heaviness","200C single dose, repeat if needed",Avoid caffeine and alcohol,
Sharp lumbar pain after lifting,Indigestion,Sodium chloride,Natrum Muriaticum,Mint coriander soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Sleeplessness due to overthinking,Stress,Bryonine,Bryonia Alba,Spinach lentil soup,"For stitching pains, worse with movement",30C once daily for 3 days,Maintain hydration and rest,
Burning pain in stomach after eating,Overexertion,Gelsemine,Gelsemium,Mint coriander soup,"For anticipatory anxiety, weakness, heaviness",30C once daily for 3 days,Maintain hydration and rest,
Sore throat with difficulty swallowing,Medication side-effect,Thujone,Thuja Occidentalis,Pumpkin soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Consult practitioner if severe,
Pulsating ear pain on swallowing,Overexertion,Strychnine,Nux Vomica,Pepper rasam,"For indigestion, irritability after overeating",200C weekly for chronic cases,Avoid caffeine and alcohol,
Irritable mood with tearfulness,Dehydration,Organic ink compounds,Sepia,Mint coriander soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid caffeine and alcohol,
Irritable mood with tearfulness,Poor sleep,Chamazulene,Chamomilla,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Maintain hydration and rest,
Sleeplessness due to overthinking,Contaminated water,Bryonine,Bryonia Alba,Herbal lemon soup,"For stitching pains, worse with movement",30C thrice daily during acute phase,Consult practitioner if severe,
Nausea with sour belching,Contaminated water,Sporopollenin,Lycopodium,Mint coriander soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
Burning pain in stomach after eating,Bacterial infection,Silicon dioxide,Silicea,Ginger garlic soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Keep remedies away from strong odors,
Irritable mood with tearfulness,Hormonal imbalance,Arsenic trioxide,Arsenicum Album,Beetroot soup,"For anxiety, restlessness, burning pains",6C every 4-6 hours until improvement,Observe changes for 48 hours,
Dry cough worse at night,Weather change,Protoanemonin,Pulsatilla,Spinach lentil soup,"For mild, emotional patients with changeable symptoms",30C thrice daily during acute phase,Avoid caffeine and alcohol,
Anxiety with restlessness and fear,Emotional distress,Thujone,Thuja Occidentalis,Pepper rasam,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Hot flushes with night sweats,Poor sleep,Elemental phosphorus,Phosphorus,Carrot and celery soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid self-medication in serious cases,
Tingling in fingertips in cold weather,Medication side-effect,Silicon dioxide,Silicea,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Avoid self-medication in serious cases,
Cramping abdominal pain relieved by bending forward,Overeating,Sporopollenin,Lycopodium,Ginger garlic soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Cold extremities with chilliness,Allergic reaction,Calcium carbonate,Calcarea Carbonica,Pepper rasam,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Cold extremities with chilliness,Overexertion,Mercurous salts,Mercurius Solubilis,Herbal lemon soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Avoid caffeine and alcohol,
Dry skin with flaky patches,Allergic reaction,Silicon dioxide,Silicea,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Irritable mood with tearfulness,Allergic reaction,Silicon dioxide,Silicea,Herbal lemon soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Red itchy rash on forearms,Emotional distress,Sodium chloride,Natrum Muriaticum,Carrot and celery soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Throbbing headache with sensitivity to light,Hormonal imbalance,Thujone,Thuja Occidentalis,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Cramping abdominal pain relieved by bending forward,Allergic reaction,Silicon dioxide,Silicea,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Burning pain in stomach after eating,Contaminated water,Gelsemine,Gelsemium,Mint coriander soup,"For anticipatory anxiety, weakness, heaviness",6C every 4-6 hours until improvement,Maintain hydration and rest,
Dry cough worse at night,Food poisoning,Sodium chloride,Natrum Muriaticum,Carrot and celery soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Keep remedies away from strong odors,
Red itchy rash on forearms,Viral infection,Chamazulene,Chamomilla,Carrot and celery soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Consult practitioner if severe,
Nausea with sour belching,Poor sleep,Mercurous salts,Mercurius Solubilis,Mint coriander soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Maintain hydration and rest,
Burning pain in stomach after eating,Allergic reaction,Organic ink compounds,Sepia,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Irritable mood with tearfulness,Allergic reaction,Organic ink compounds,Sepia,Pumpkin soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Observe changes for 48 hours,
White-coated tongue with bitter taste,Emotional distress,Gelsemine,Gelsemium,Beetroot soup,"For anticipatory anxiety, weakness, heaviness","200C single dose, repeat if needed",Consult practitioner if severe,
Pulsating ear pain on swallowing,Stress,Thujone,Thuja Occidentalis,Spinach lentil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Consult practitioner if severe,
Dry cough worse at night,Dehydration,Atropine,Belladonna,Pepper rasam,"For sudden high fever, throbbing pains","200C single dose, repeat if needed",Avoid caffeine and alcohol,
Cold extremities with chilliness,Cold exposure,Elemental sulphur,Sulphur,Pumpkin soup,"For chronic skin conditions, itching, burning","200C single dose, repeat if needed",Maintain hydration and rest,
